Restaurant,City,Cuisine,Rating,Cost,Veg,Delivery,Address,Phone,Timings,Menu,Description,Popular_Dishes,Popularity,Image
Spice Route,Bengaluru,North Indian,4.6,900,No,Yes,"12, Church Street, MG Road, Bengaluru",+91 98765 10001,"12 PM - 11:30 PM","Curries, kebabs, biryani, breads","A lively modern Indian restaurant known for smoky tandoor flavours and generous shared plates.",Butter Chicken; Dal Makhani; Tandoori Platter,96,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
Green Theory,Bengaluru,Cafe,4.5,700,Yes,Yes,"15, Convent Road, Richmond Town, Bengaluru",+91 98765 10002,"9 AM - 10:30 PM","Breakfast bowls, salads, pasta, desserts","A serene garden café serving wholesome vegetarian comfort food in a leafy heritage setting.",Pesto Pasta; Mushroom Crepes; Chocolate Cake,91,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
Coastal Curry,Mumbai,Seafood,4.7,1400,No,Yes,"24, Carter Road, Bandra West, Mumbai",+91 98765 10003,"12 PM - 12 AM","Coastal thalis, seafood grills, curries","Fresh catch and bold Konkan spices make this a favourite for seafood lovers.",Bombay Duck Fry; Prawn Gassi; Fish Thali,98,https://images.unsplash.com/photo-1547592180-85f173990554?auto=format&fit=crop&w=900&q=80
Bombay Biryani House,Mumbai,North Indian,4.4,800,No,Yes,"8, Linking Road, Bandra West, Mumbai",+91 98765 10004,"11 AM - 11 PM","Biryani, kebabs, rolls, desserts","A cheerful neighbourhood spot for aromatic dum biryani and hearty Mughlai classics.",Mutton Biryani; Chicken Seekh Kebab; Phirni,89,https://images.unsplash.com/photo-1563379926898-05f4575a45d8?auto=format&fit=crop&w=900&q=80
The Olive Table,Delhi,Italian,4.6,1800,No,No,"3, Mehrauli Marg, New Delhi",+91 98765 10005,"12 PM - 11 PM","Pasta, pizza, risotto, tiramisu","An elegant all-day Italian dining room with handmade pasta and a warm ambience.",Truffle Risotto; Burrata Pizza; Tiramisu,94,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
Chaat Chowk,Delhi,Street Food,4.3,400,Yes,Yes,"19, Khan Market, New Delhi",+91 98765 10006,"11 AM - 10 PM","Chaat, kulcha, golgappa, lassi","A bright, quick-service chaat bar reimagining familiar Delhi street-food favourites.",Raj Kachori; Dahi Bhalla; Amritsari Kulcha,87,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=900&q=80
Madras Filter House,Chennai,South Indian,4.7,500,Yes,Yes,"4, T Nagar High Road, Chennai",+91 98765 10007,"7 AM - 10 PM","Dosa, idli, vada, filter coffee","Crisp dosas, fluffy idlis, and strong coffee in a relaxed contemporary setting.",Ghee Podi Dosa; Mini Idli; Filter Coffee,97,https://images.unsplash.com/photo-1589301760014-d929f3979dbc?auto=format&fit=crop&w=900&q=80
Marina Grill,Chennai,Seafood,4.4,1200,No,Yes,"22, Besant Nagar Beach Road, Chennai",+91 98765 10008,"12 PM - 11 PM","Grilled fish, crab, rice bowls, desserts","Beachside seafood dining with charcoal grills and classic Tamil coastal marinades.",Grilled Seer Fish; Crab Masala; Prawn Biryani,86,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
Pink City Kitchen,Jaipur,Rajasthani,4.5,850,Yes,Yes,"10, MI Road, Jaipur",+91 98765 10009,"11 AM - 11 PM","Thali, dal, gatte, desserts","A colourful introduction to royal Rajasthani recipes and unlimited thalis.",Dal Baati Churma; Gatte Ki Sabzi; Laal Maas,90,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
Saffron Wok,Jaipur,Chinese,4.2,650,No,Yes,"36, C Scheme, Jaipur",+91 98765 10010,"12 PM - 10:45 PM","Noodles, dim sum, stir fry, soups","A casual pan-Asian kitchen with punchy sauces and quick, comforting bowls.",Chilli Chicken; Veg Dimsum; Hakka Noodles,78,https://images.unsplash.com/photo-1512003867696-6d5ce6835040?auto=format&fit=crop&w=900&q=80
Riverstone Cafe,Pune,Cafe,4.6,600,Yes,Yes,"7, Koregaon Park, Pune",+91 98765 10011,"8 AM - 11 PM","Coffee, sandwiches, bowls, pastries","A sunny café for long brunches, specialty coffee, and easy conversations.",Avocado Toast; Cold Brew; Pancake Stack,93,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
Deccan Flame,Pune,North Indian,4.4,1000,No,Yes,"41, FC Road, Pune",+91 98765 10012,"12 PM - 11:30 PM","Kebabs, curries, biryani, naan","A dependable favourite for rich North Indian plates and family dinners.",Galouti Kebab; Paneer Lababdar; Lucknowi Biryani,85,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
Kolkata Kathi Co.,Kolkata,Street Food,4.5,450,No,Yes,"5, Park Street, Kolkata",+91 98765 10013,"12 PM - 11 PM","Kathi rolls, chops, chaat, drinks","The classic Kolkata roll gets a polished treatment at this busy central counter.",Chicken Kathi Roll; Egg Roll; Fish Fry,92,https://images.unsplash.com/photo-1528712306091-ed0763094c98?auto=format&fit=crop&w=900&q=80
Bengal Bhoj,Kolkata,Bengali,4.7,1100,No,No,"29, Southern Avenue, Kolkata",+91 98765 10014,"12 PM - 10:30 PM","Fish curries, kosha mangsho, rice, sweets","An intimate Bengali kitchen celebrating seasonal produce and traditional recipes.",Kosha Mangsho; Bhetki Paturi; Mishti Doi,95,https://images.unsplash.com/photo-1603133872878-684f208fb84b?auto=format&fit=crop&w=900&q=80
Nizam's Garden,Hyderabad,Hyderabadi,4.8,950,No,Yes,"18, Banjara Hills, Hyderabad",+91 98765 10015,"11 AM - 11:30 PM","Biryani, haleem, kebabs, desserts","A destination for fragrant Hyderabadi biryani, slow-cooked meats, and old-city flavour.",Chicken Biryani; Haleem; Pathar Ka Gosht,99,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
Leaf & Lentil,Hyderabad,South Indian,4.3,550,Yes,Yes,"11, Jubilee Hills, Hyderabad",+91 98765 10016,"7:30 AM - 10 PM","Dosa, meals, rice, coffee","A modern vegetarian South Indian restaurant with crisp service and comforting classics.",Mysore Masala Dosa; Veg Meals; Kesari Bath,82,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d8c?auto=format&fit=crop&w=900&q=80
